fips,resistance,recovery,resilience
18095,0.272846,0.685831,0.897926
18097,0.270486,0.694051,0.898733
18099,0.266145,0.630784,0.88709
18101,0.322663,0.865864,0.927902
18103,0.277259,0.721587,0.904395
18105,0.254346,0.626678,0.884145
18107,0.287763,0.665093,0.897324
18109,0.305596,0.664182,0.899553
18111,0.295956,0.67454,0.900077
18113,0.33461,0.620122,0.896638
18115,0.345265,0.665697,0.90459
18117,0.253501,0.666471,0.89264
18119,0.25546,0.64831,0.887904
18121,0.272758,0.706451,0.901977
18123,0.251237,0.692163,0.896589
18125,0.247952,0.680033,0.894216
18127,0.30124,0.640545,0.894536
18129,0.279202,0.652564,0.89269
18131,0.280879,0.707006,0.902824
18133,0.30094,0.666011,0.899361
18135,0.287221,0.680465,0.899353
18137,0.30203,0.67402,0.901324
18139,0.307856,0.696151,0.905399
18141,0.278199,0.687526,0.898632
18143,0.268518,0.681328,0.89624
18145,0.303511,0.665532,0.899584
18147,0.281818,0.679806,0.898899
